input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,input_main_postcode,input_main_street,input_main_street_number,chosen_veridion_id,chosen_company_name,main_country_code,main_country,main_region,main_city,main_postcode,main_street,main_street_number,website_domain,website_url,primary_phone,employee_count,revenue,main_industry,main_business_category,created_at,last_updated_at,chosen_score,score_margin,name_sim,country_match,city_match,postcode_match,street_match,number_match,susp_tld,tld,country_mismatch,low_conf,needs_review,review_reasons
0,24-SEVEN MEDIA NETWORK (PRIVATE) LIMITED,PK,Pakistan,Sindh,Karachi,,,,26e22210-93e5-11eb-b997-8dd98d09cf25,New Millennium Network,PK,Pakistan,Sindh,Karachi,74400,,,mnet.com.pk,https://www.mnet.com.pk/,923335055787.0,23.0,311793.0,Telecommunication Services,Cable & Internet Providers,2020-02-25T14:47:51.000Z,2024-11-29T04:18:00.109Z,0.5538461538461539,0.1086848635235732,0.46153846153846156,1.0,1.0,0.0,0.0,0.0,False,pk,False,False,False,
1,2OPERATE A/S,DK,Denmark,North Denmark Region,Aalborg,9220,Niels Jernes Vej,10,8b99ef83-93e4-11eb-b997-8dd98d09cf25,2operate,DK,Denmark,North Denmark Region,Aalborg Municipality,9220,Niels Jernes Vej,10,2operate.com,https://www.2operate.com/,4596356150.0,75.0,28698964.0,Telecommunication Services,Cable & Internet Providers,2020-02-17T15:56:51.000Z,2025-03-28T15:16:32.101Z,0.8260000000000003,0.08200000000000018,0.8,1.0,0.5,1.0,0.8,1.0,False,com,False,False,False,
10,ACCENTURE SERVICES AS,NO,Norway,Viken,Bærum,1364,Rolfsbuktveien,2,182e8830-1b02-11ec-81d0-432e4ac5b2cc,Accenture Norge,NO,Norway,Oslo,Oslo,0158,Rådhusgata,27,accenture.no,https://www.accenture.no/,4767126700.0,,,Business Consulting,Business Consulting,2021-08-18T09:56:01.000Z,2025-04-08T01:19:27.796Z,0.5666666666666667,0.17380952380952375,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,False,no,False,False,False,
100,COMBA TELECOM LIMITED,HK,Hong Kong,Hong Kong,Hong Kong Island,,,,85816b51-93e4-11eb-a736-0f5b20ecb2f1,Comba Telecom,HK,Hong Kong,Hong Kong,New Territories,,Science Park West Avenue,8,comba-telecom.com,https://comba-telecom.com/en/,862028390136.0,600.0,766000000.0,Telecommunication Services,Telecommunications,2019-11-23T23:14:59.000Z,2025-04-03T15:33:02.000Z,0.75,0.16923076923076918,1.0,1.0,0.0,0.0,0.0,0.0,False,com,False,False,False,
101,Comengineering Sdn. Bhd.,MY,Malaysia,Selangor,Subang Jaya,47650,Jalan Putra Mahkota 7/7B,5-2,eb823b24-1e9c-11ee-918e-3b99085851a3,COMENGINEERING SDN BHD.,MY,Malaysia,Selangor,Subang Jaya,47650,Jalan Putra Mahkota 7/7B,5-2,,,60329382838.0,,,,,2023-07-09T21:08:51.420Z,2025-03-19T12:06:12.904Z,0.9860000000000001,0.4437777777777778,1.0,1.0,1.0,1.0,0.8,1.0,False,,False,False,False,
102,COMMSCOPE SOLUTIONS SINGAPORE PTE. LTD.,SG,Singapore,Central,Singapore,068804,Shenton Way,2,03be7761-93e5-11eb-a746-fdabd18be9c6,All Property Solutions Singapore,SG,Singapore,Central,Singapore,178957,Raffles Boulevard,6,apss.com.sg,https://apss.com.sg/,6561000577.0,15.0,5542795.0,Real Estate - Agents & Managers,Real Estate - Agents & Managers,2020-04-20T19:57:06.000Z,2025-04-15T14:26:18.617Z,0.7147540983606557,0.0527540983606557,0.7540983606557377,1.0,1.0,0.0,0.0,0.0,False,sg,False,False,False,
103,CommScope Technologies AG,CH,Switzerland,Zurich,Zurich,8001,Talstrasse,80,ff338e8e-b929-11ed-89f1-bd62b3e1c745,Commscope Technologies Ag,CH,Switzerland,Zurich,Bachenbülach,8184,Bächliwis,2b,,,,,,,,2023-03-02T18:42:02.018Z,2025-03-26T20:05:10.284Z,0.75,0.20213559322033892,1.0,1.0,0.0,0.0,0.0,0.0,False,,False,False,False,
104,COMMSCOPE TECHNOLOGIES LLC,US,United States,West Virginia,,,,,0094d3b3-1b06-11ec-8d54-8181ab1eaaa9,CommScope,US,United States,Nebraska,Omaha,68114,North 96th Street,1212,,,,,,,,2021-10-01T14:41:52.000Z,2025-03-28T06:38:42.659Z,0.5193548387096775,0.05397022332506207,0.5806451612903226,1.0,0.0,0.0,0.0,0.0,False,,False,False,False,
105,COMVIVA TECHNOLOGIES LIMITED,IN,India,Haryana,Gurugram,122102,Golf Course Extension Road,,8913e0f5-93e4-11eb-91fb-73d498260b10,Comviva Technologies,IN,India,Haryana,Gurugram,122102,Golf Course Extension Road,,comviva.com,https://www.comviva.com/,8801817182024.0,3300.0,88700000.0,Telecommunication Services,Cable & Internet Providers,2019-11-24T00:18:25.000Z,2025-01-18T19:57:03.000Z,0.9560000000000001,0.37227906976744196,1.0,1.0,1.0,1.0,0.8,0.0,False,com,False,False,False,
106,CONSCIA DANMARK A/S,DK,Denmark,Capital Region Of Denmark,Glostrup,2605,Kirkebjerg Parkvej,9,33c93c45-a7e0-11ef-af89-216a077ca7fb,Conscia Danmark A/S.,DK,Denmark,Region Zealand,Ringsted,4100,,,laugesen.io,https://laugesen.io/,4531629348.0,,,Freight Transport,Trucking and Logistics,2024-11-15T05:11:28.000Z,2024-12-03T19:02:27.000Z,0.75,0.027513513513513388,1.0,1.0,0.0,0.0,0.0,0.0,False,io,False,True,True,low_confidence
